Level: State
Unit:Per Capita (dollars), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R39) Chg-Total Education,(R41) Chg-Total High Ed,(R46) Chg-Highways,(R64) Total Utility Revenue,(E049) Gen Pub Bldg-Total Exp,(E052) Health & Hosp-Dir Exp,(E061) Own Hospital-Total Exp,(E065) Total Highways-Dir Exp,(E083) Parking-Direct Expend,(E087) Police Prot-Direct Exp
Alabama,2010.0,$           5651,$           1759,$            546,$            540,$              0,$              0,$              2,$            440,N/A,$            273,$              0,$             32
Alabama,2011.0,$           5465,$           1794,$            592,$            586,$              0,$              0,$              2,$            411,N/A,$            291,$              0,$             32
Alabama,2012.0,$           6128,$           1870,$            427,$            420,$              0,$              0,$              1,$            399,N/A,$            301,$              0,$             24
Alabama,2013.0,$           6264,$           1906,$            438,$            432,$              0,$              0,$              1,$            423,N/A,$            322,$              0,$             24
Alabama,2014.0,$           6000,$           1902,$            463,$            457,$              0,$              0,$              0,$            428,N/A,$            316,$              0,$             24
Alabama,2015.0,$           5739,$           1988,$            491,$            486,$              0,$              0,$              1,$            446,N/A,$            330,$              0,$             31
Alabama,2016.0,$           6233,$           2100,$            520,$            516,$              0,$              0,$              0,$            491,N/A,$            328,$              0,$             34
Alabama,2017.0,$           6717,$           2104,$            538,$            532,$              0,$              0,$              0,$            535,N/A,$            314,$              0,$             29
Alabama,2018.0,$           6994,$           2222,$            565,$            560,$              0,$              0,$              0,$            567,N/A,$            392,$              0,$             33
Alabama,2019.0,$           7103,$           2315,$            574,$            568,$              0,$              0,$              0,$            605,N/A,$            353,$              0,$             36
Alabama,2020.0,$           7300,$           2397,$            557,$            552,$              0,$              0,$              0,$            632,N/A,$            339,$              0,$             38
Florida,2010.0,$           4817,$           1618,$            130,$            130,$             59,$              1,$              2,$            242,N/A,$            264,$              0,$             23
Florida,2011.0,$           5528,$           1662,$            142,$            142,$             58,$              1,$              2,$            246,N/A,$            255,$              0,$             23
Florida,2012.0,$           3901,$           1712,$            116,$            116,$             59,$              1,$              1,$            246,N/A,$            251,$              0,$             27
