State,PopualtionDensity,Income,TotalCapitalOutlays,Politicalscore,Precipitation
Alabama,7.37005198,59122,441.8333333,0.278571429,59.98833333
Arizona,62.04233997,45203.5,244.6666667,0.42962963,11.51
Arkansas,56.47615287,42932.16667,421.8333333,0.279012346,60.3
California,240.0852836,61164,284.1666667,0.6875,21.37
Colorado,54.18971955,57652.5,331.6666667,0.546666667,17.30333333
Connecticut,646.1675988,72155.66667,582.6666667,0.567736185,46.225
Delaware,387.2771528,51712.66667,811.8333333,0.596774194,48.905
Florida,319.6280453,50756.66667,377.6666667,0.357291667,55.91666667
Georgia,176.0430318,46315.33333,314.5,0.359463277,52.59833333
Idaho,20.81416953,43262.16667,411,0.187301587,23.95166667
Illinois,220.630006,55700.5,394.8333333,0.616760829,43.99
Indiana,183.6281668,46540,365.1666667,0.271111111,46.40833333
Iowa,55.97518644,48747.16667,616.1666667,0.432222222,38.16333333
Kansas,35.44456801,50470.33333,411.3333333,0.274747475,31.03666667
Kentucky,110.4050188,42184.5,507.5,0.385265701,56.82166667
Louisiana,89.10391449,45738,482.3333333,0.375,65.61166667
Maine,37.90013661,48095.16667,300.1666667,0.528673835,44.485
Maryland,487.6411817,60197.83333,571.8333333,0.667553192,48.315
Massachusetts,652.1831217,69107.33333,739,0.7925,46.86833333
Michigan,103.25076,47275.83333,267,0.413288288,36.69666667
Minnesota,64.28858394,56028.16667,374.8333333,0.493366501,30.24
Mississippi,61.577349,38086.16667,386.8333333,0.391762452,62.72333333
Missouri,87.74716791,46860.83333,235.1666667,0.280033841,46.595
Montana,7.190401705,47674.5,457,0.406666667,18.96
Nebraska,24.85547353,52263.16667,420.6666667,0.302720917,26.26
Nevada,27.11098198,49185.66667,291.1666667,0.555555556,10.43333333
New Hampshire,144.8451706,60581.16667,341.6666667,0.474056604,46.1
New Jersey,1026.100061,64505,522.1666667,0.6375,49.08833333
New Mexico,17.25248787,41307.33333,422.5,0.577380952,13.58666667
New York,360.7858705,63911,608.8333333,0.653870287,43.71166667
North Carolina,191.4036183,46099.33333,466.3333333,0.388235294,57.155
North Dakota,10.77655662,55314.5,1063,0.20212766,17.94
Ohio,260.6557504,48034.5,405.8333333,0.335858586,44.33833333
Oklahoma,56.35698174,46236.16667,651,0.232662192,41.45333333
Oregon,42.17705167,49826.16667,389.1666667,0.594444445,30.87833333
Pennsylvania,278.5993073,54366,708.6666667,0.411725955,47.79833333
Rhode Island,688.9030205,52879.66667,471.1666667,0.85840708,49.34333333
South Carolina,157.4743285,43988.33333,412.8333333,0.369607843,52.78
South Dakota,11.33631585,52731.33333,786.3333333,0.165079365,21.985
Tennessee,160.0889174,46579.5,270.6666667,0.232323232,60.36666667
Texas,105.7539216,50827.33333,508.3333333,0.38305709,31.72666667
Utah,36.83200231,45320,671.8333333,0.182692308,13.00666667
Vermont,68.12109869,52735.83333,519.8333333,0.605555556,44.34
Virginia,215.0541065,56377.66667,483.8333333,0.439285714,51.27666667
Washington,112.2078192,59671,376.3333333,0.532879819,43.46
West Virginia,75.50116482,40576.33333,549.6666667,0.385572139,51.35
Wisconsin,107.275201,50375.5,415,0.372474748,38.55333333
Wyoming,5.986780715,60038,889.1666667,0.137037037,16.47166667
